Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Nationally Notifiable Disease Surveillance System (NNDSS) & Other Conditions of Public Health Importance	PHVS_NotifiableEvent_Disease_Condition_CDC_NNDSS	2.16.840.1.114222.4.11.1015	8	List of notifiable events, which includes infectious and non-infectious diseases or conditions. This list includes events that are notifiable at the state and national level.	Published	02/01/2022	Initial Import for : CB82B3A0-607F-DD11-B38D-00188B398520

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
11086	Ehrlichiosis, human monocytic (HME)	Ehrlichiosis, human monocytic (HME)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11087	Ehrlichiosis, human, other or unspecified agent	Ehrlichiosis, human, other or unspecified agent		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11091	Ehrlichiosis/Anaplasmosis, undetermined	Ehrlichiosis/Anaplasmosis, undetermined		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10070	Encephalitis, post-chickenpox	Encephalitis, post-chickenpox		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10080	Encephalitis, post-mumps	Encephalitis, post-mumps		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10090	Encephalitis, post-other	Encephalitis, post-other		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10050	Encephalitis, primary	Encephalitis, primary		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11560	Enterohemorrhagic Escherichia coli (EHEC) O157:H7	Enterohemorrhagic Escherichia coli (EHEC) O157:H7		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11564	Enterohemorrhagic Escherichia coli (EHEC) shiga toxin+ (not serogrouped)	Enterohemorrhagic Escherichia coli (EHEC) shiga toxin+ (not serogrouped)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11562	Enterohemorrhagic Escherichia coli (EHEC) shiga toxin+ (serogroup non-O157)	Enterohemorrhagic Escherichia coli (EHEC) shiga toxin+ (serogroup non-O157)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10570	Flu activity code (Influenza)	Flu activity code (Influenza)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11570	Giardiasis	Giardiasis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10280	Gonorrhea	Gonorrhea		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10276	Granuloma inguinale (GI)	Granuloma inguinale (GI)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10590	Haemophilus influenzae, invasive disease	Haemophilus influenzae, invasive disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10380	Hansen's disease (Leprosy)	Hansen's disease (Leprosy)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11610	Hantavirus infection	Hantavirus infection		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11590	Hantavirus pulmonary syndrome	Hantavirus pulmonary syndrome		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
42020	Head injury	Head injury		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11550	Hemolytic uremic syndrome post-diarrheal	Hemolytic uremic syndrome post-diarrheal		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10110	Hepatitis A, acute	Hepatitis A, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10105	Hepatitis B virus infection, chronic	Hepatitis B virus infection, chronic		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10100	Hepatitis B, acute	Hepatitis B, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10104	Hepatitis B, virus infection perinatal	Hepatitis B, virus infection perinatal		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10106	Hepatitis C virus, past or present	Hepatitis C virus, past or present		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10101	Hepatitis C, acute	Hepatitis C, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10102	Hepatitis Delta co- or super-infection, acute (Hepatitis D)	Hepatitis Delta co- or super-infection, acute (Hepatitis D)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10103	Hepatitis E, acute	Hepatitis E, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10480	Hepatitis, non A, non B, acute	Hepatitis, non A, non B, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10120	Hepatitis, viral unspecified	Hepatitis, viral unspecified		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10568	Human T-Lymphotropic virus type I infection (HTLV-I)	Human T-Lymphotropic virus type I infection (HTLV-I)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10569	Human T-Lymphotropic virus type II infection (HTLV-II)	Human T-Lymphotropic virus type II infection (HTLV-II)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11063	Influenza outbreak	Influenza outbreak		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11061	Influenza-associated pediatric mortality	Influenza-associated pediatric mortality		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10078	Jamestown Canyon virus disease, neuroinvasive	Jamestown Canyon virus disease, neuroinvasive		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10079	Jamestown Canyon virus disease, non-neuroinvasive	Jamestown Canyon virus disease, non-neuroinvasive		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10068	Japanese encephalitis virus disease, non-neuroinvasive	Japanese encephalitis virus disease, non-neuroinvasive		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10059	Japanese encephalitis virus neuroinvasive disease	Japanese encephalitis virus neuroinvasive disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
50000	Kawasaki Disease	Kawasaki Disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10082	LaCrosse virus disease, non-neuroinvasive	LaCrosse virus disease, non-neuroinvasive		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10081	LaCrosse virus neuroinvasive disease	LaCrosse virus neuroinvasive disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
32010	Lead poisoning	Lead poisoning		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10490	Legionellosis	Legionellosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10390	Leptospirosis	Leptospirosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10640	Listeriosis	Listeriosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11080	Lyme disease	Lyme disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10306	Lymphogranuloma venereum (LGV)	Lymphogranuloma venereum (LGV)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10130	Malaria	Malaria		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10140	Measles (rubeola), total	Measles (rubeola), total		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11585	Melioidosis	Melioidosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10150	Meningococcal disease (Neisseria meningitidis)	Meningococcal disease  (Neisseria meningitidis)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11661	Methicillin- or oxacillin-resistant Staphylococcus aureus coagulase-positive (MRSA a.k.a. ORSA)	Methicillin- or oxacillin-resistant Staphylococcus aureus coagulase-positive (MRSA a.k.a. ORSA)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11064	Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Infection	Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Infection		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11801	Monkeypox	Monkeypox		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
42040	Motor vehicle injury	Motor vehicle injury		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10308	Mucopurulent cervicitis (MPC)	Mucopurulent cervicitis (MPC)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10180	Mumps	Mumps		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10317	Neurosyphilis	Neurosyphilis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10307	Nongonococcal urethritis (NGU)	Nongonococcal urethritis (NGU)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11062	Novel influenza A virus infections, initial detections of	Novel influenza A virus infections, initial detections of		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
42060	Other injury	Other injury		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10309	Pelvic Inflammatory Disease (PID), Unknown Etiology	Pelvic Inflammatory Disease (PID), Unknown Etiology		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10190	Pertussis	Pertussis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10440	Plague	Plague		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10410	Poliomyelitis, paralytic	Poliomyelitis, paralytic		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10405	Poliovirus infection, nonparalytic	Poliovirus infection, nonparalytic		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10063	Powassan virus disease, non-neuroinvasive	Powassan virus disease, non-neuroinvasive		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10057	Powassan virus neuroinvasive disease	Powassan virus neuroinvasive disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10450	Psittacosis (Ornithosis)	Psittacosis (Ornithosis)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10255	Q fever	Q fever		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10257	Q fever, acute	Q fever, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10258	Q fever, chronic	Q fever, chronic		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10340	Rabies, animal	Rabies, animal		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10460	Rabies, human	Rabies, human		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11030	Reye syndrome	Reye syndrome		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11050	Rheumatic fever	Rheumatic fever		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10200	Rubella	Rubella		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10370	Rubella, congenital syndrome	Rubella, congenital syndrome		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11000	Salmonellosis	Salmonellosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10575	Severe Acute Respiratory Syndrome (SARS)-associated Coronavirus disease (SARS-CoV)	Severe Acute Respiratory Syndrome (SARS)-associated Coronavirus disease (SARS-CoV)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11563	Shiga toxin-producing Escherichia coli (STEC)	Shiga toxin-producing Escherichia coli (STEC)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11010	Shigellosis	Shigellosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
32000	Silicosis	Silicosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11800	Smallpox	Smallpox		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
42010	Spinal cord injury	Spinal cord injury		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10250	Spotted Fever Rickettsiosis	Spotted Fever Rickettsiosis		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10064	St. Louis encephalitis virus disease, non-neuroinvasive	St. Louis encephalitis virus disease, non-neuroinvasive		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
10051	St. Louis encephalitis virus neuroinvasive disease	St. Louis encephalitis virus neuroinvasive disease		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11710	Streptococcal disease, invasive, Group A	Streptococcal disease, invasive, group A (Streptococcus pyogenes)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
11715	Streptococcal disease, invasive, Group B	Streptococcal disease, invasive, group B (Streptococcus agalactiae)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20220101	NND
